Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-03-04,11.27,11.45,11.22,11.41,116436000.0,0.0,1.0,11.0968111723,11.2740450686,11.0475795344,11.2346597583,116436000.0
2013-03-05,11.56,11.71,11.53,11.55,135869700.0,0.0,1.0,11.3823546718,11.5300495854,11.3528156891,11.3725083443,135869700.0
2013-03-06,11.77,12.02,11.76,11.92,182557500.0,0.0,1.0,11.5891275508,11.8352857401,11.5792812233,11.7368224644,182557500.0
2013-03-07,12.0,12.28,11.98,12.26,212403800.0,0.0,1.0,11.815593085,12.0912902569,11.7959004298,12.0715976018,212403800.0
2013-03-08,12.42,12.44,12.02,12.07,209777100.0,0.0,1.0,12.2291388429,12.2488314981,11.8352857401,11.884517378,209777100.0
2013-03-11,12.08,12.22,12.02,12.15,106427800.0,0.0,1.0,11.8943637055,12.0322122915,11.8352857401,11.9632879985,106427800.0
2013-03-12,12.11,12.18,11.91,12.01,128134700.0,0.0,1.0,11.9239026882,11.9928269812,11.7269761368,11.8254394125,128134700.0
2013-03-13,12.04,12.11,11.98,12.06,86216800.0,0.0,1.0,11.8549783952,11.9239026882,11.7959004298,11.8746710504,86216800.0
2013-03-14,12.12,12.19,12.1,12.11,115440000.0,0.0,1.0,11.9337490158,12.0026733088,11.9140563607,11.9239026882,115440000.0
2013-03-15,12.52,12.66,12.35,12.57,319019100.0,0.0,1.0,12.3276021186,12.4654507046,12.1602145499,12.3768337565,319019100.0
2013-03-18,12.29,12.68,12.26,12.56,189783300.0,0.0,1.0,12.1011365845,12.4851433598,12.0715976018,12.3669874289,189783300.0
2013-03-19,12.79,12.94,12.59,12.71,242939600.0,0.0,1.0,12.5934529631,12.7411478766,12.3965264116,12.5146823425,242939600.0
2013-03-20,12.79,12.89,12.71,12.78,219121700.0,0.0,1.0,12.5934529631,12.6919162388,12.5146823425,12.5836066355,219121700.0
2013-03-21,12.71,12.84,12.55,12.57,154529400.0,0.0,1.0,12.5146823425,12.6426846009,12.3571411014,12.3768337565,154529400.0
2013-03-22,12.62,12.67,12.48,12.56,101974400.0,0.0,1.0,12.4260653943,12.4752970322,12.2882168084,12.3669874289,101974400.0
2013-03-25,12.68,12.72,12.32,12.4,154320200.0,0.0,1.0,12.4851433598,12.5245286701,12.1306755672,12.2094461878,154320200.0
2013-03-26,12.45,12.5,12.15,12.28,135654700.0,0.0,1.0,12.2586778256,12.3079094635,11.9632879985,12.0912902569,135654700.0
2013-03-27,12.14,12.28,12.12,12.23,107177200.0,0.0,1.0,11.953441671,12.0912902569,11.9337490158,12.0420586191,107177200.0
2013-03-28,12.24,12.28,12.11,12.18,92013900.0,0.0,1.0,12.0519049467,12.0912902569,11.9239026882,11.9928269812,92013900.0
2013-04-01,12.15,12.28,12.1,12.15,86281600.0,0.0,1.0,11.9632879985,12.0912902569,11.9140563607,11.9632879985,86281600.0
2013-04-02,12.24,12.25,12.14,12.15,102626000.0,0.0,1.0,12.0519049467,12.0617512742,11.953441671,11.9632879985,102626000.0
2013-04-03,12.12,12.14,11.72,11.81,199765800.0,0.0,1.0,11.9337490158,11.953441671,11.539895913,11.6285128611,199765800.0
2013-04-04,11.81,11.99,11.72,11.94,117831400.0,0.0,1.0,11.6285128611,11.8057467574,11.539895913,11.7565151195,117831400.0
2013-04-05,11.67,12.01,11.64,11.97,141061900.0,0.0,1.0,11.4906642751,11.8254394125,11.4611252924,11.7860541022,141061900.0
2013-04-08,12.0,12.21,11.91,12.21,101419200.0,0.0,1.0,11.815593085,12.0223659639,11.7269761368,12.0223659639,101419200.0
2013-04-09,12.25,12.35,12.21,12.25,132365800.0,0.0,1.0,12.0617512742,12.1602145499,12.0223659639,12.0617512742,132365800.0
2013-04-10,12.31,12.4,12.26,12.32,105853900.0,0.0,1.0,12.1208292397,12.2094461878,12.0715976018,12.1306755672,105853900.0
